Date|AAPL|AGG|AMZN|BND|BTC-USD|COP|CROMF|CVX|DUK|EXC|FB|GC=F|GOOGL|HYG|IEF|JNK|JPM|KO|LQD|MSFT|MUB|NEE|NFLX|NVDA|PEHN.SW|PEP|PFFA|PG|SHY|TIP|TLT|TSLA|V|XOM|^GSPC|^IRX
2020-12-28|||||||||||||||||||||||||55.37783432006836|||||||||||
2021-01-01|128.8174285888672|110.29740905761719|158.10800170898438|81.78883361816406|39371.04296875|40.10902786254883|9.864060401916504|80.45238494873047|80.61358642578125|27.36566925048828||1912.300048828125|88.71700286865234|76.59161376953125|113.33306884765625|94.32063293457031|125.68767547607422|46.33041763305664|125.33634948730469|213.0124053955078|110.69231414794922|74.64739990234375|508.8900146484375|133.15164184570312||132.05567932128906|17.271121978759766|129.70379638671875|83.47713470458984|112.31720733642578|143.00328063964844|272.0133361816406|209.6930389404297|39.754608154296875|3803.7900390625|0.07999999821186066
2021-01-04|||||||||||||||||||||||||56.78574752807617|||||||||||
2021-01-08|126.83972930908203|110.21271514892578|156.37350463867188|81.72328186035156|39187.328125|42.95345687866211|9.802791595458984|85.15184020996094|82.20094299316406|27.72377586364746||1850.300048828125|86.5459976196289|76.60039520263672|112.90296173095703|94.29463958740234|131.53099060058594|45.65345001220703|125.40083312988281|207.8697967529297|110.6355972290039|77.69768524169922|500.8599853515625|131.7172393798828||131.39755249023438|17.539012908935547|126.8547134399414|83.45777893066406|112.08781433105469|142.44749450683594|281.6666564941406|197.97314453125|44.485191345214844|3795.5400390625|0.07500000298023224
2021-01-11|||||||||||||||||||||||||56.316444396972656|||||||||||
2021-01-15|134.67189025878906|110.32564544677734|165.34950256347656|81.77944946289062|30825.69921875|38.754127502441406|9.802791595458984|82.04859161376953|80.87366485595703|28.010255813598633||1865.300048828125|94.2074966430664|76.79354858398438|113.1610107421875|94.58049774169922|125.62387084960938|45.393795013427734|125.2809829711914|219.53085327148438|110.72064971923828|78.80859375|579.8400268554688|138.3753204345703||129.4047393798828|17.539012908935547|122.38021850585938|83.49644470214844|112.91722869873047|142.60765075683594|281.663330078125|201.1899871826172|42.53990173339844|3853.070068359375|0.0729999989271164
2021-01-18|||||||||||||||||||||||||56.316444396972656|||||||||||
2021-01-22|134.88833618164062|110.50442504882812|161.88099670410156|81.92927551269531|33466.09765625|36.88775634765625|9.750279426574707|79.38229370117188|82.03951263427734|27.372182846069336||1837.9000244140625|92.66000366210938|76.55650329589844|113.59111022949219|94.27731323242188|121.22615051269531|45.57927322387695|125.29016876220703|233.15335083007812|111.18379974365234|77.63179016113281|538.5999755859375|130.2279510498047||129.01547241210938|17.427230834960938|122.50755310058594|83.48678588867188|113.04956817626953|144.04891967773438|278.4766540527344|194.40325927734375|40.72725296020508|3787.3798828125|0.054999999701976776
2021-01-25|||||||||||||||||||||||||56.316444396972656|||||||||||
2021-01-29|135.1835174560547|109.95868682861328|166.5500030517578|81.53600311279297|36926.06640625|39.489898681640625|9.881566047668457|79.3644790649414|84.61334228515625|28.433469772338867||1788.9000244140625|102.68150329589844|76.72330474853516|112.85517120361328|94.46790313720703|128.8103485107422|45.449440002441406|124.68130493164062|236.15890502929688|111.00424194335938|78.14019012451172|552.1599731445312|136.3472137451172||129.46961975097656|17.712919235229492|121.2576675415039|83.47713470458984|112.71426391601562|140.62005615234375|283.3299865722656|205.22085571289062|42.73443603515625|3871.739990234375|0.029999999329447746
2021-02-01|||||||||||||||||||||||||55.37783432006836|||||||||||
2021-02-05|132.95982360839844|110.1295166015625|163.10650634765625|81.65648651123047|47909.33203125|41.67032241821289|9.907822608947754|82.0575180053711|81.08890533447266|27.82794952392578||1824.9000244140625|104.4375|77.22516632080078|113.02507019042969|95.160400390625|129.76071166992188|46.645721435546875|124.89955139160156|238.57894897460938|111.5833511352539|79.03455352783203|557.5900268554688|152.17794799804688||125.10395050048828|17.89544105529785|120.5998306274414|83.50611877441406|112.82015991210938|140.48130798339844|270.5533447265625|206.60369873046875|44.06961441040039|3916.3798828125|0.03500000014901161
2021-02-08|||||||||||||||||||||||||56.316444396972656|||||||||||
2021-02-12|127.81761169433594|109.51689910888672|166.4114990234375|81.17817687988281|51679.796875|43.184940338134766|10.004101753234863|84.71487426757812|81.12625885009766|27.801908493041992||1773.4000244140625|105.29049682617188|77.09297943115234|111.90612030029297|95.0038833618164|135.649169921875|47.081581115722656|123.99365997314453|237.89585876464844|110.6934585571289|76.00308990478516|548.219970703125|147.9695281982422||125.47466278076172|17.84783172607422|121.7275390625|83.50611877441406|111.5760269165039|136.93527221679688|262.4599914550781|205.63768005371094|46.778350830078125|3913.969970703125|0.023000000044703484
2021-02-15|||||||||||||||||||||||||56.78574752807617|||||||||||
2021-02-19|119.22481536865234|107.8298568725586|152.85800170898438|79.9027328491211|47093.8515625|48.02050018310547|10.065366744995117|92.55927276611328|78.9424819946289|25.340749740600586||1774.4000244140625|100.79750061035156|76.39685821533203|109.72554779052734|94.23869323730469|140.85748291015625|46.52516555786133|120.6659927368164|223.96835327148438|109.15042877197266|69.72362518310547|546.7000122070312|132.7873992919922||120.49720764160156|17.633560180664062|118.95524597167969|83.36109161376953|109.67011260986328|130.65431213378906|227.4066619873047|209.9596710205078|50.1414909362793|3829.340087890625|0.032999999821186066
2021-02-22|||||||||||||||||||||||||57.25505447387695|||||||||||
